ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2016/01/01,2016/04/27 22:02:29,46274.221,42845.201,39955.879,37994.438,36517.024,35381.955,34463.412,33936.693,33696.436,29914.716,31695.099,34292.760,35893.266,37018.319,39053.541,41289.802,44502.723,47278.046,51422.535,54207.148,61495.624,64839.280,67470.425,71100.848,76595.237,79148.295,82315.459,86381.215,88621.972,90158.897,92842.586,93359.401,90775.382,89649.556,88662.355,86956.039,84577.826,82156.143,79728.002,78626.825,74366.539,70392.476,65720.756,60585.634,64204.692,59881.148,52445.488,44894.454,41,Y,5298
NSLP,ACTEWAGL,2016/01/02,2016/04/27 22:02:29,41186.616,38238.651,36751.798,35817.537,34688.888,34091.595,33607.154,33485.230,33383.750,31603.525,32565.786,36374.761,38666.683,40951.045,42601.570,44924.007,47460.125,49019.956,52316.488,53801.387,58668.204,55066.289,52131.734,51802.329,53972.752,55551.744,54905.264,56347.229,57308.608,57970.707,57178.207,57817.302,59817.479,62224.688,63542.265,63978.983,63046.430,62103.182,61915.591,63022.633,60051.018,57670.919,55112.932,52209.155,57813.074,54969.009,48762.005,41429.940,42,Y,5298
NSLP,ACTEWAGL,2016/01/03,2016/04/27 22:02:29,37375.564,34783.287,33096.891,32223.944,31700.791,30939.699,30779.755,30614.624,30732.387,29686.368,30169.318,33744.938,35318.181,37309.119,40600.207,44493.364,45455.833,46275.364,49357.234,51189.015,52841.632,51234.707,49567.745,48239.197,48512.010,47459.221,47396.274,48756.629,49543.720,51864.630,52481.833,53861.355,57849.438,61837.170,64630.631,66629.649,67637.468,66291.140,67103.726,66846.295,62442.995,58876.179,55695.000,51859.502,56720.927,53544.243,47347.115,39856.673,36,Y,5298
NSLP,ACTEWAGL,2016/01/04,2016/04/27 22:02:29,35861.360,33527.261,32371.437,31281.558,30574.484,30297.473,30330.825,30577.404,31367.832,33103.095,36722.771,42746.282,48251.149,52119.753,53134.653,53361.466,53052.025,51877.436,53459.347,54616.822,59678.945,54346.271,53470.765,55839.084,57859.252,55540.469,54151.716,52882.159,51870.507,53833.601,55061.370,57650.211,61068.076,66002.715,70156.789,73002.268,71484.853,69334.810,69520.978,67860.645,63292.033,59597.666,55417.644,51102.570,56071.599,53298.811,47167.670,40169.643,37,Y,5298
NSLP,ACTEWAGL,2016/01/05,2016/04/27 22:02:29,35728.142,33093.965,31235.362,30688.014,30657.797,29756.353,29631.672,30565.501,31575.043,32841.353,35920.962,43490.737,49815.137,54367.545,56779.983,57597.524,57834.693,58206.690,60332.619,60074.264,64728.128,63708.661,60298.332,58542.700,56926.130,55116.429,55083.903,53671.144,55151.536,58155.769,59748.836,61613.110,63858.135,66303.858,69992.757,72136.687,72797.914,71404.552,70207.819,69859.356,65467.321,61598.521,57626.757,52816.638,57129.277,54449.440,47997.450,40524.759,38,Y,5298
NSLP,ACTEWAGL,2016/01/06,2016/04/27 22:02:29,36084.749,32955.780,31526.992,31024.479,30436.179,30141.974,29837.005,30385.850,31609.118,32956.413,36584.343,44403.294,50314.920,54594.124,55593.226,56844.094,56457.344,54879.529,55948.910,54030.521,59537.672,56996.844,56379.234,54453.185,56177.729,54867.083,54382.815,53867.026,51901.752,52935.038,52916.014,54109.190,58347.966,64772.902,68184.531,71581.490,71671.189,70418.090,69281.891,69011.776,65538.882,61638.790,57659.023,53177.544,58069.412,55298.428,49089.099,41106.515,39,Y,5298
NSLP,ACTEWAGL,2016/01/07,2016/04/27 22:02:29,36344.582,33551.087,32525.030,31613.877,30785.871,30765.189,30510.248,30990.407,32187.195,32642.532,37048.121,45457.605,51214.276,53797.795,54043.513,52002.792,49919.129,48467.610,47364.359,45880.601,50803.554,49400.501,45211.715,43619.419,45091.338,43743.258,43712.127,43526.145,43487.401,44212.571,46372.981,48854.367,53721.522,58497.833,62873.170,65931.960,66320.024,65771.897,65434.211,66263.047,64894.064,61677.842,57471.790,52875.705,57434.696,54097.460,48192.653,40364.638,40,Y,5298
NSLP,ACTEWAGL,2016/01/08,2016/04/27 22:02:29,35933.903,33129.785,32046.198,31164.254,30461.303,30078.175,30082.640,30351.388,31373.240,31222.062,35451.379,43505.362,48544.344,51300.963,51582.533,50944.852,48860.534,47299.974,46704.856,45308.765,49352.022,48668.349,46148.938,44808.158,45813.538,44879.740,45040.566,46238.693,48519.824,51590.886,54897.489,59114.294,64625.817,70080.483,75290.189,77444.431,77138.908,74916.571,72866.263,72537.315,69040.431,65167.992,61641.570,57485.764,61761.171,58075.572,51331.767,43447.727,41,Y,5298
NSLP,ACTEWAGL,2016/01/09,2016/04/27 22:02:29,38966.119,35932.969,34305.995,33130.285,32372.203,31605.287,31434.707,31022.685,31578.132,30147.478,30906.547,36170.618,38982.207,41607.497,44810.267,47215.874,49900.835,50300.888,51340.904,51202.969,55919.303,56062.608,55199.259,55163.038,57457.442,58861.693,61309.041,66022.079,69712.850,72116.873,75159.920,78229.825,81650.910,86662.852,89441.953,90611.007,89941.162,87056.144,85053.964,84496.557,81071.783,76532.547,71579.160,66400.960,69494.271,64542.266,57364.633,49086.303,42,Y,5298
NSLP,ACTEWAGL,2016/01/10,2016/05/05 22:02:02,43816.406,40628.828,38563.828,36989.645,35741.349,34833.864,34085.083,33771.783,33461.893,31677.526,32099.264,36470.450,38936.202,41338.438,44833.678,47990.214,50529.058,52913.805,55968.929,58153.573,65119.739,67829.857,69049.503,71565.638,76885.576,79628.070,82843.193,86486.188,91168.952,96220.240,100658.802,104236.501,109475.296,115288.069,120104.358,121875.639,119802.290,115594.700,109771.780,105150.135,100881.034,93943.876,85200.177,75465.751,75329.413,69111.458,60370.725,51377.051,36,Y,5311
