ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2016/01/01,2016/04/27 22:04:27,64.396,45.923,38.664,24.034,23.942,21.134,16.674,16.746,12.641,7.872,9.732,6.994,4.004,2.016,2.066,2.323,3.703,10.526,16.365,14.475,13.772,13.092,13.732,11.409,11.030,7.403,7.346,7.782,4.145,4.197,4.919,2.565,1.528,2.269,3.801,4.976,4.681,8.343,10.593,11.758,23.521,28.832,32.946,61.679,89.255,82.857,52.495,48.370,6,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/02,2016/04/27 22:04:27,63.478,42.464,28.900,30.782,26.500,25.023,17.769,11.222,9.949,17.397,21.804,21.636,18.333,24.503,28.109,25.543,33.887,32.829,37.951,36.152,29.314,22.329,13.193,27.390,33.495,27.825,16.083,17.836,19.798,25.831,17.983,12.117,10.201,13.037,11.108,12.959,11.906,20.933,12.160,22.504,24.189,25.317,28.300,46.715,46.620,32.027,23.725,25.391,7,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/03,2016/04/27 22:04:27,44.760,29.075,15.938,22.181,19.207,22.193,18.884,11.956,18.488,11.539,16.531,20.446,21.298,15.717,16.888,30.048,32.350,33.041,37.582,41.816,36.980,35.226,30.676,38.314,26.480,30.705,20.178,10.740,21.948,17.350,22.959,13.926,11.952,12.009,16.327,12.396,12.940,20.605,19.245,21.085,26.730,18.598,34.548,48.268,45.658,30.655,26.924,25.274,1,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/04,2016/04/27 22:04:27,37.265,29.646,17.384,22.074,16.295,23.279,17.502,15.860,12.700,15.694,10.474,17.230,4.630,2.431,5.152,5.521,10.843,10.177,13.735,17.814,16.205,8.545,7.817,14.955,13.955,12.894,7.337,8.827,6.039,6.986,8.728,11.398,4.879,5.002,3.866,3.009,1.630,6.845,12.491,16.801,27.764,25.538,35.185,73.842,103.416,95.419,71.466,71.589,2,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/05,2016/04/27 22:04:27,75.068,56.872,47.293,36.368,29.890,22.731,15.943,13.255,15.582,13.093,16.664,19.008,10.851,3.140,3.003,6.802,10.473,16.236,12.274,17.291,18.853,14.294,8.656,6.066,13.211,12.057,7.689,5.538,8.172,7.793,3.807,5.174,6.465,5.021,3.899,5.385,5.571,9.058,15.889,19.067,25.532,24.479,35.259,73.772,106.124,87.242,71.157,66.197,3,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/06,2016/04/27 22:04:27,68.354,53.760,47.749,33.092,29.467,22.243,19.640,12.358,19.772,10.812,19.631,13.631,6.363,4.793,5.107,3.855,10.182,14.538,13.546,19.251,20.834,13.912,12.209,8.811,10.798,5.505,3.669,5.279,11.766,9.553,7.229,2.627,2.988,5.758,5.562,0.365,1.398,6.895,15.650,8.057,21.063,30.978,45.167,78.546,97.011,85.456,72.869,64.960,4,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/07,2016/04/27 22:04:27,62.746,52.030,44.234,36.024,34.171,31.160,21.295,22.906,9.778,8.723,18.766,22.947,9.827,3.531,5.194,5.390,7.514,8.584,9.659,12.288,14.294,8.427,12.370,5.961,10.784,8.137,8.160,5.984,5.634,8.445,1.839,1.344,1.263,2.505,2.597,3.260,3.762,7.301,11.317,13.885,21.927,28.071,27.676,67.453,97.853,78.436,63.014,64.005,5,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/08,2016/04/27 22:04:27,66.849,51.795,46.671,32.419,34.445,22.963,20.747,16.171,17.190,17.023,20.650,15.674,7.392,2.087,2.330,3.284,9.415,12.118,10.733,12.716,15.979,9.577,4.825,6.797,15.476,7.374,5.938,8.642,11.102,5.170,5.840,4.403,1.600,2.640,4.183,3.435,3.581,4.683,9.380,13.275,23.887,30.070,33.502,68.732,84.916,86.729,72.330,64.752,6,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/09,2016/04/27 22:04:27,77.860,47.399,42.653,31.931,22.872,25.520,15.937,19.545,14.904,14.719,17.593,13.668,19.474,28.917,22.752,24.273,20.641,23.855,32.143,35.341,35.542,32.315,24.368,27.486,16.132,31.849,23.338,18.666,13.996,12.449,15.605,9.908,10.927,8.922,13.620,8.109,11.991,13.225,22.674,21.424,27.403,28.870,24.690,50.453,46.771,39.132,23.066,22.009,7,N,5298
CLOADNSWCE,COUNTRYENERGY,2016/01/10,2016/05/05 22:03:56,39.879,25.992,11.484,17.805,18.321,18.406,15.248,11.406,9.406,8.604,9.086,13.623,21.293,17.434,21.135,26.627,30.669,33.121,27.853,20.130,31.126,22.746,23.039,18.569,20.173,21.112,17.141,19.945,20.438,12.766,15.423,16.985,7.006,10.576,9.072,12.096,10.715,16.365,20.800,26.280,30.697,18.972,26.716,48.318,45.543,35.938,26.545,27.261,1,N,5311
