ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2017/01/01,2017/05/11 22:03:27,43.959,28.702,11.561,13.257,8.996,9.002,9.295,8.702,14.814,15.223,9.259,5.785,9.291,20.200,21.437,16.321,26.670,18.625,27.470,24.581,28.386,30.951,26.871,14.951,18.676,27.510,22.951,22.957,19.070,23.160,13.748,9.465,3.956,5.123,7.453,9.058,8.708,8.467,15.888,9.369,12.947,15.567,17.622,53.065,56.110,31.316,23.793,27.116,1,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/02,2017/05/11 22:03:27,32.462,25.256,13.477,16.766,21.279,16.099,10.872,13.382,14.374,11.009,11.767,18.146,7.835,5.404,0.624,1.640,5.307,10.820,11.956,10.701,10.605,6.281,3.918,3.601,13.915,5.548,2.948,3.860,4.171,3.776,4.486,5.125,4.316,3.001,1.591,2.458,3.989,4.696,12.769,12.513,19.448,32.028,29.607,77.831,117.029,101.019,64.200,67.987,2,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/03,2017/05/11 22:03:27,66.074,42.283,26.999,28.773,21.257,18.012,16.611,14.506,16.431,23.258,15.651,20.672,8.532,5.069,1.609,1.489,6.430,15.385,11.588,10.616,7.529,6.440,4.199,1.808,7.885,10.160,7.468,4.003,2.665,2.020,2.504,2.556,1.674,1.790,1.817,3.321,1.733,4.109,8.576,13.556,14.801,26.451,35.316,80.729,116.269,91.714,68.158,55.233,3,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/04,2017/05/11 22:03:27,51.804,37.486,23.530,20.247,13.570,13.282,17.368,12.736,16.062,14.513,18.325,20.557,8.242,4.043,2.104,2.944,3.796,7.617,7.032,9.360,8.151,5.139,2.073,5.628,12.485,3.717,8.201,3.213,4.023,4.734,4.138,4.848,1.139,2.432,1.433,2.607,1.595,0.927,6.077,8.434,15.158,25.689,27.835,83.524,112.847,86.111,69.009,58.577,4,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/05,2017/05/11 22:03:27,63.669,47.232,29.337,33.914,18.842,12.882,11.368,14.987,11.861,16.467,14.454,17.792,7.340,5.944,4.973,2.307,6.138,11.183,8.532,11.783,11.537,10.270,6.763,3.140,9.447,6.252,6.937,6.250,2.855,3.419,3.609,4.262,2.487,4.095,3.084,4.155,5.878,4.496,6.438,11.682,16.285,27.942,29.203,80.429,119.354,89.696,68.260,57.855,5,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/06,2017/05/11 22:03:27,49.626,34.550,34.518,28.415,21.662,14.633,16.505,12.235,13.092,15.296,13.274,13.421,7.403,3.402,4.012,1.892,6.539,8.498,12.047,5.132,8.383,10.068,3.748,5.909,9.254,3.335,2.592,4.086,5.008,1.875,3.280,4.098,4.984,3.675,5.369,1.595,1.941,1.887,7.171,8.411,17.972,27.938,28.263,80.465,107.477,88.173,66.387,68.348,6,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/07,2017/05/11 22:03:27,57.292,46.630,24.386,22.316,18.219,15.427,13.346,15.262,12.876,9.665,13.266,18.381,21.880,24.228,22.164,32.553,34.239,31.605,20.158,25.819,25.062,27.252,23.591,19.539,20.859,21.242,28.062,15.604,11.383,15.643,12.970,9.564,9.255,9.854,8.622,8.785,10.482,10.109,6.932,11.300,11.287,28.122,25.435,58.971,48.499,40.848,30.788,30.310,7,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/08,2017/05/11 22:03:27,29.355,18.057,13.212,12.345,15.039,9.494,6.400,10.488,10.333,8.092,14.330,15.089,9.359,20.037,25.430,18.663,29.067,28.810,29.006,26.249,28.938,25.363,24.085,25.839,19.635,27.506,21.303,22.006,19.113,16.308,14.227,8.969,7.234,9.928,11.877,11.999,8.835,13.353,17.645,21.803,14.680,20.656,24.802,51.828,49.440,35.116,29.955,32.004,1,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/09,2017/05/11 22:03:27,31.345,25.158,15.158,16.474,17.715,16.490,11.821,5.667,9.404,10.995,19.241,22.891,11.327,5.022,4.086,3.143,3.724,10.896,8.122,7.315,8.556,8.630,7.071,6.877,10.305,6.147,7.962,7.950,8.268,6.142,7.319,3.339,2.708,1.996,3.030,4.257,5.823,5.980,8.614,11.305,16.570,23.801,25.614,75.104,117.991,88.869,73.152,57.720,2,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/10,2017/05/11 22:03:27,46.145,29.261,20.077,22.622,13.928,13.106,11.330,11.509,11.627,15.067,13.355,12.881,7.275,3.938,4.076,1.675,7.595,9.700,7.290,9.802,9.281,8.643,5.982,6.466,7.324,6.978,2.681,1.763,0.851,4.032,7.327,5.382,3.346,3.927,2.751,3.697,1.927,9.871,11.413,10.492,19.530,27.103,30.031,77.690,99.663,80.588,65.538,51.808,3,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/11,2017/05/11 22:03:27,41.511,28.831,20.440,19.311,12.804,9.602,11.548,11.466,12.097,20.471,18.110,19.904,3.075,6.425,2.536,3.697,4.630,7.274,8.085,10.779,11.115,4.967,3.867,5.608,7.328,6.232,3.927,4.311,5.267,3.879,1.922,6.501,1.832,2.593,4.289,1.981,5.066,3.415,7.126,10.248,16.615,28.057,31.208,78.262,106.649,86.466,68.202,54.324,4,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/12,2017/05/11 22:03:27,51.117,42.048,18.289,19.391,12.833,12.144,10.396,15.018,10.641,16.737,23.584,17.511,4.938,2.680,3.383,2.762,4.725,2.933,3.020,5.379,8.810,7.928,4.075,6.567,8.647,6.916,5.651,1.965,6.344,4.103,6.035,5.628,3.632,4.914,3.320,4.813,5.798,5.011,7.182,10.588,14.989,23.712,25.683,70.677,106.211,88.745,61.227,56.627,5,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/13,2017/05/11 22:03:27,59.846,41.797,23.604,18.911,20.513,6.047,6.362,14.659,10.091,16.152,16.819,15.897,5.936,2.811,0.849,1.454,4.981,10.653,12.745,9.955,10.086,9.267,8.233,8.298,10.581,7.768,6.245,4.576,2.136,6.835,5.392,3.397,2.897,2.280,4.145,3.542,3.809,5.059,9.567,9.746,13.651,31.170,28.699,75.771,103.387,79.514,56.719,60.460,6,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/14,2017/05/11 22:03:27,48.114,39.241,24.359,20.981,16.165,5.543,8.909,13.128,17.413,13.297,18.575,20.645,19.425,19.319,23.131,26.870,32.492,27.774,21.553,24.439,23.887,22.696,16.887,13.528,21.052,18.988,22.743,17.544,10.393,17.188,12.303,5.788,7.768,7.046,14.835,10.236,10.798,8.701,15.422,12.836,11.522,14.420,20.298,56.331,63.817,37.737,29.092,35.203,7,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/15,2017/05/11 22:03:27,40.587,32.273,11.395,14.824,11.157,13.942,16.521,11.615,11.788,13.779,17.858,12.648,18.411,20.686,15.419,19.534,29.464,25.654,30.491,22.565,35.090,33.154,20.591,20.269,28.851,22.867,27.026,20.366,20.859,22.396,20.458,7.687,6.901,6.872,11.455,7.765,9.050,9.904,12.123,15.850,25.444,25.983,20.695,53.973,62.536,38.429,23.550,31.566,1,N,5920
CLOADNSWCE,COUNTRYENERGY,2017/01/16,2017/05/11 22:03:27,39.741,32.388,15.624,16.697,12.353,13.418,9.736,8.952,12.392,15.457,22.438,16.690,8.543,6.162,1.045,1.554,8.913,11.319,11.688,10.350,10.237,9.712,7.234,9.210,11.594,4.830,5.168,7.441,3.832,3.665,2.749,1.814,1.742,3.153,2.522,4.965,3.038,3.893,10.975,10.889,14.120,21.300,26.525,72.754,116.212,100.641,65.771,58.422,2,N,5920
