ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2018/01/13,2018/05/10 22:04:10,43.348,30.059,23.481,19.384,11.632,14.053,11.315,8.096,14.496,16.188,15.487,11.224,20.302,23.522,19.284,35.801,23.962,17.003,27.018,22.758,29.656,28.988,27.239,23.497,21.953,21.584,26.021,23.575,17.073,13.397,16.924,13.190,6.133,8.800,11.653,12.008,6.287,8.536,14.853,10.778,11.227,15.427,21.018,44.740,52.043,32.599,22.071,31.355,7,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/14,2018/05/10 22:04:10,29.846,25.778,16.466,16.019,18.071,15.666,14.877,15.971,14.876,6.838,13.139,8.700,21.422,28.613,24.884,20.109,24.101,36.304,30.198,37.937,34.358,22.733,23.271,22.383,22.555,20.367,19.659,25.735,23.513,15.597,13.469,12.952,10.320,9.575,12.926,10.228,16.340,17.548,15.892,8.547,18.068,19.736,26.165,54.692,61.357,43.066,31.046,35.524,1,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/15,2018/05/10 22:04:10,29.057,27.549,17.829,13.031,14.596,9.614,16.169,15.572,13.421,13.470,21.973,21.482,7.411,7.058,2.439,2.738,9.283,13.471,10.147,12.128,12.055,6.523,8.585,6.631,9.326,7.803,4.513,4.665,5.455,2.921,0.350,3.947,4.455,1.900,4.480,5.627,7.083,12.359,13.753,13.741,22.433,29.073,30.081,74.578,115.098,97.054,62.596,48.845,2,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/16,2018/05/10 22:04:10,52.606,40.441,20.960,21.210,22.650,15.912,10.305,10.795,11.773,18.372,23.586,16.771,9.886,8.416,2.384,0.571,10.393,8.931,9.454,8.264,6.436,8.865,9.963,14.632,13.235,7.678,2.771,2.933,5.614,3.594,1.660,3.925,2.939,4.557,5.319,8.499,6.318,4.855,14.307,13.591,15.943,24.767,24.373,72.882,111.652,91.983,70.514,47.536,3,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/17,2018/05/10 22:04:10,45.502,41.221,26.208,18.564,15.028,14.681,17.113,10.704,16.069,22.174,14.718,25.404,4.222,6.205,4.184,4.318,10.966,9.725,8.769,8.519,9.746,6.987,4.289,3.518,8.975,6.286,2.749,2.806,1.434,3.722,3.316,3.829,3.595,1.862,3.984,5.482,3.892,4.167,8.650,11.099,15.341,26.826,29.497,73.357,107.506,80.793,61.650,56.651,4,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/18,2018/05/10 22:04:10,43.202,42.538,27.143,24.298,20.946,13.084,12.541,11.875,14.365,22.904,22.347,17.989,9.883,5.202,2.636,4.443,8.999,5.476,11.501,12.687,11.686,9.252,7.223,6.818,8.135,6.384,6.194,4.626,6.923,3.040,3.097,4.134,2.969,4.337,4.696,7.445,4.830,2.206,6.937,15.024,17.902,25.735,24.165,63.272,96.748,71.070,47.440,47.938,5,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/19,2018/05/10 22:04:10,45.083,31.345,21.561,18.864,17.443,9.787,9.516,10.445,8.902,17.775,20.162,20.982,7.205,8.000,4.452,2.456,6.825,9.356,9.018,8.054,14.082,8.933,9.273,6.879,6.190,3.883,6.686,4.833,2.375,4.146,4.981,2.129,1.753,3.454,7.825,8.375,5.078,4.276,9.934,12.531,15.606,23.125,23.279,59.347,92.258,71.325,55.575,40.451,6,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/20,2018/05/10 22:04:10,42.936,38.636,19.414,15.206,12.622,11.088,14.093,7.409,13.150,16.210,13.996,19.213,22.937,24.676,22.191,26.112,23.004,23.805,21.520,27.899,29.737,20.509,22.302,17.307,18.838,15.602,16.366,12.225,12.437,9.839,10.137,7.354,8.820,8.979,7.660,8.117,7.933,11.112,10.614,6.872,14.011,12.464,19.162,45.448,47.066,28.124,20.270,20.706,7,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/21,2018/05/31 22:01:11,23.314,26.595,11.561,15.381,12.559,9.939,6.337,6.452,8.661,14.040,14.992,15.420,20.962,18.962,18.630,29.234,15.422,19.443,15.177,20.501,21.640,16.119,16.807,20.085,17.342,17.930,15.674,12.055,21.409,17.068,10.056,6.305,4.607,7.630,6.882,7.812,8.440,15.329,16.178,23.358,17.916,14.963,18.869,39.691,37.007,28.574,17.282,25.963,1,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/22,2018/05/31 22:01:11,17.016,13.292,7.304,10.621,13.231,7.702,14.573,8.924,12.322,15.707,17.650,18.923,7.674,7.663,3.736,2.482,8.748,9.029,8.007,8.079,6.016,8.625,3.783,7.055,9.043,7.741,6.075,5.324,7.577,7.168,2.957,6.108,3.468,5.143,3.901,3.604,3.994,10.197,10.835,15.137,20.537,22.556,24.843,65.986,86.172,62.644,45.051,44.512,2,N,6577
