cities.name,cities.geocode,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brisbane,Brisbane,QLD,2000497,2038737,2076608,2123906,2166883,2204361,2240206,2282759,2330980,2378700,2430180
Bundaberg,Bundaberg,QLD,67967,68707,69095,69818,70166,70221,70156,70179,70472,70902,71309
Cairns,Cairns,QLD,134355,137151,139212,142038,144602,146329,147603,149182,151160,152669,153951
Emerald,Emerald,QLD,12979,13302,13632,13797,13932,13973,13951,13867,13940,14113,14290
Gladstone - Tannum Sands,Gladstone,QLD,41669,42023,43166,43663,44657,45415,45632,44954,44865,45115,45631
Gold Coast - Tweed Heads,Gold Coast - Tweed Heads,QLD,560103,571400,581036,594903,608069,618927,630820,645711,662535,678808,693671
Gympie,Gympie,QLD,19378,19704,19971,20431,20715,20903,21024,21315,21511,21596,21868
Hervey Bay,Hervey Bay,QLD,48205,49245,49835,50596,51242,51929,52429,53016,53720,54664,55345
Kingaroy,Kingaroy,QLD,9633,9851,10074,10469,10588,10525,10516,10464,10401,10396,10306
Mackay,Mackay,QLD,76586,78053,79683,80584,81450,81454,81110,80411,80079,80129,80264
Maryborough,Maryborough,QLD,26680,26827,26893,26981,27114,27162,27219,27240,27277,27279,27286
Mount Isa,Mount Isa,QLD,20988,21193,21417,21349,21274,20782,20178,19271,18837,18580,18310
Rockhampton,Rockhampton,QLD,74282,74995,75730,77301,78526,79096,79109,78598,78688,78575,79081
Sunshine Coast,Sunshine Coast,QLD,272441,277204,281005,288657,296079,302929,309622,316905,325035,333345,341069
Toowoomba,Toowoomba,QLD,123869,125375,126426,128484,130089,131367,132532,133654,135284,136819,138223
Townsville,Townsville,QLD,160657,164030,167561,170885,173600,175762,176906,178244,179780,180769,181668
Warwick,Warwick,QLD,14714,14829,14950,15194,15496,15484,15417,15395,15349,15376,15277
Yeppoon,Yeppoon,QLD,16097,16455,16815,17393,17830,18076,18355,18539,18738,18998,19267
Not in any Significant Urban Area (SA),Not in any Significant Urban Area (SA),SA,256248,257439,257489,259605,261459,263426,265165,266405,267359,268473,269624
Adelaide,Adelaide,SA,1219091,1234762,1245896,1259590,1271393,1283724,1294981,1305526,1315794,1327041,1340794
Mount Gambier,Mount Gambier,SA,27786,28192,28279,28618,28883,29178,29405,29532,29504,29640,29767
Murray Bridge,Murray Bridge,SA,16293,16579,17071,17308,17536,17754,17963,18196,18457,18780,19078
Port Augusta,Port Augusta,SA,14026,14065,14084,14126,14173,14181,14130,14053,13956,13799,13561
Port Lincoln,Port Lincoln,SA,15335,15502,15621,15766,15882,16057,16157,16198,16280,16327,16418
Port Pirie,Port Pirie,SA,14284,14351,14281,14354,14420,14484,14425,14347,14265,14189,14162
Victor Harbor - Goolwa,Victor Harbor - Goolwa,SA,23540,24055,24422,24820,25162,25517,25851,26154,26333,26535,26921
Whyalla,Whyalla,SA,22299,22377,22471,22538,22580,22624,22591,22432,21975,21743,21638
Not in any Significant Urban Area (WA),Not in any Significant Urban Area (WA),WA,277081,280908,285891,292047,296432,295269,293052,289702,289366,288640,288182
Albany,Albany,WA,31154,31479,31791,32488,33060,33555,33767,33784,33993,34199,34367
Broome,Broome,WA,12841,13055,13314,13943,14710,14639,14613,14535,14496,14440,14371
Bunbury,Bunbury,WA,64159,66027,67860,69893,71630,72650,73476,73678,73970,74348,74591
Busselton,Busselton,WA,29517,30611,31475,33141,34626,35845,36866,37690,38366,38915,39618
Esperance,Esperance,WA,11607,11673,11777,12021,12199,12385,12519,12355,12256,12143,12130
Geraldton,Geraldton,WA,35908,36335,36884,37667,38437,38792,38705,38369,37955,37640,37255
Kalgoorlie - Boulder,Kalgoorlie - Boulder,WA,31228,31490,31933,32522,32966,32232,31519,30652,30411,29840,29326
Karratha,Karratha,WA,15749,16265,17007,17466,17927,17698,17073,16363,16440,16702,17102
Perth,Perth,WA,1711756,1752733,1804239,1861969,1911697,1940924,1964398,1982270,1999634,2019227,2045479
Port Hedland,Port Hedland,WA,13488,13944,14372,14653,14848,14693,14587,14411,14280,14316,14476
Yanchep,Yanchep,WA,5762,6325,6866,7697,8412,8926,10097,12169,13026,13771,14612
Not in any Significant Urban Area (Tas.),Not in any Significant Urban Area (Tas.),TAS,152566,153439,153748,153463,153119,153066,152891,153106,153980,155404,157073
Burnie - Wynyard,Burnie - Wynyard,TAS,27768,27891,28019,27801,27539,27340,27170,26978,26980,27170,27343
Devonport,Devonport,TAS,30015,30242,30392,30185,30037,29961,29875,29900,30050,30294,30629
Hobart,Hobart,TAS,194566,197020,198534,199796,201295,203192,205171,207396,210510,213588,216682
Launceston,Launceston,TAS,84880,85584,86051,85786,85619,85523,85557,85732,86463,87355,88178
Ulverstone,Ulverstone,TAS,14558,14671,14739,14693,14622,14539,14453,14402,14427,14487,14552
Not in any Significant Urban Area (NT),Not in any Significant Urban Area (NT),NT,83851,85334,85808,86947,88073,87684,86752,86062,86124,86169,86208
Alice Springs,Alice Springs,NT,28068,28397,28489,28355,28124,27486,26843,26518,26554,26502,26390
Darwin,Darwin,NT,114108,116047,116995,120613,125525,127724,131097,133098,134839,134387,133331
Not in any Significant Urban Area (ACT),Not in any Significant Urban Area (ACT),ACT,874,922,952,966,985,999,1015,1014,1009,1522,2677
Canberra - Queanbeyan,Canberra - Queanbeyan,ACT,390929,398488,405014,413630,420363,425890,432739,439971,449012,456935,462136
Not in any Significant Urban Area (OT),Not in any Significant Urban Area (OT),OT,2876,3055,3117,3033,2962,2896,2851,4608,4621,4634,4643
